,mean,std
Att01_id01,0.529,.065
Att01_id02,0.536,.067
Att01_id03,0.537,.074
Att01_noBtNk01,0.507,.070
Att01_noBtNk02,0.512,.083
Att01_noBtNk03,0.527,.079
Att01_trans01,0.512,.067
Att01_trans02,0.494,.072
Att01_trans03,0.506,.075
Att01_trans04,0.497,.071
Att01_trans05,0.529,.081
Att01_trans05B,0.489,.088
Att01_trans06,0.531,.079
Att01_trans06B,0.478,.089
Att01_vit01-01,0.520,.068
Att01_vit01-02,0.510,.073
Att01_vit02-01,0.539,.069
Att01_vit02-02,0.537,.078
Att01_vit03-01,0.556,.078
Att01_vit03-02,0.527,.084
id01,0.533,.061
id02,0.531,.076
id03,0.542,.071
noBtNk01,0.525,.066
noBtNk02,0.532,.070
noBtNk03,0.541,.065
trans01,0.516,.064
trans02,0.511,.070
trans03,0.532,.063
trans04,0.506,.076
trans05,0.530,.074
trans05B,0.489,.078
trans06,0.553,.050
trans06B,0.485,.080
vit01-01,0.534,.065
vit01-02,0.516,.079
vit02-01,0.547,.060
vit02-02,0.544,.073
vit03-01,0.564,.063
vit03-02,0.528,.083
